McLennan CC | Cedar Valley
N Arkansas | National Park
Northwestern OH | Trinity IL
Silver Lake | Concordia MI
Schoolcraft | Wayne Co
Acadia | St Marys NS
New Brunswick | St Fran Xavier
Manitoba | Mt Royal
Univ Lethbridge | Grant MacEwan
Calgary | Alberta
Saskatchewan | Fraser Val
Trinity Western | Regina
Northern BC | Winnipeg
Brandon | UBC-Okanagan
Brit Columbia | Victoria
Cent Methodist | Lindenwood-Belle
Concordia NE | St Francis IN
St Ambrose | Culver-Stockton
Dordt | Friends
Grand View | MO Baptist
Philander Smith | Jarvis Chr
Oklahoma S&A | KS Wesleyan
San Diego Chr | La Sierra
Wiley | Southern N.O.
Riverside CC | Antelope Val CC
Col of the Canyons | Long Beach City Col
Rio Hondo | Citrus Col
East LA Col | De Anza Col
Diablo Val | Skyline
LA Harbor | Porterville
Taft CC | LA Southwest
Sierra Col | Mission
Mt San Antonio | Saddleback
West LA Col | San Bernardino Val
Ave Maria | Virgin Islands
Brenau | Carver Bib
Graceland | Cottey
Bismarck St | Lake Region
Miles CC | Dawson CC
Hostos CC | Onondaga CC
UConn-AP | Roxbury CC
Columbia Greene | Ulster Co
Coastal AL-Mon | S Union St
Union Co | Bor Manhattan
Mt Vernon Naz | Trinity Chr
Ark Baptist | Coahoma CC
ND St Science | United Tribes
SAU Tech | Southern-Shreve
Fisher | ME Ft Kent
McCook CC | Little Priest
Dakota-Bottineau | Williston St
Allegany MD | CC Beaver Co
Queensborough | Bunker Hill CC
Col of the Sequoias | Feather River
Merced Col | San Joaquin Delta
Solano CC | Merritt
Sacramento City | San Jose City Col
Labette CC | MCC Maple Woods
Ryerson | Algoma
Cape Breton | Dalhousie
UPEI | Memorial
Windsor | Queens ON
Ottawa ON | Laurier
Carleton ON | Waterloo
York ON | Western ON
Guelph | Toronto
Lakehead | Laurentian
Humber | Lambton
St Clair | Conestoga
Mohawk | Niagara ON
UT-Mississauga | Sault
Crandall | Kings NS
MS Vincent NS | St Thomas NB
Capilano | Langara
Douglas | Columbia Bib
Augustana AB | Grande Prairie
Ambrose | St Marys AB
Olds | Lethbridge Col
Briercrest | Red Deer
Concordia AB | Lakeland AB
N Alberta Tech | Kings AB
Villa Maria | Warren Wilson
ME Machias | Hampshire
ME Augusta | Vermont Tech
Lawrence Tech | Wright St-Lake
So Crescent Tech | Georgia NW Tech
Vancouver Island | Okanagan Col
Dakota Wesleyan | Presentation
Lincoln Trail | Olive-Harvey
Mineral Area | Olney
SE Illinois | Three Rivers
Potomac St-WVU | Southern MD
Erie CC | Mercer Co
Genesee CC | Broome CC
Jamestown CC | Corning CC
Niagara Co | Northampton CC
Brookdale CC | Anne Arundel
Cayuga CC | Adirondack CC
Herkimer Co | Clinton CC (NY)
Onondaga CC | Gloucester Co
MiraCosta | Gavilan
Lassen | Yuba
Mt Marty | Dakota St
Patrick Henry CC | Hocking
Sullivan Co | Raritan Val
Fulton-Mont | Hostos CC
Lyon | Grand View
Miles CC | Bismarck St
ND St Science | Dakota-Bottineau
Hagerstown CC | CC of RI
Nassau CC | Monroe-Bronx
Lake Region | Dawson CC
United Tribes | Williston St
Massasoit CC | N Country CC
Col of the Canyons | West LA Col
Citrus Col | Saddleback
Diablo Val | Sierra Col
East LA Col | LA Harbor
San Joaquin Delta | Feather River
Merced Col | Col of the Sequoias
Skyline | Mission
Rio Hondo | Mt San Antonio
Sacramento City | Solano CC
UPEI | Memorial
Cape Breton | Dalhousie
UT-Mississauga | Sault
MS Vincent NS | Crandall
NB-St John | Holland
Mt Allison | St Thomas NB
Unity | Hampshire
ME Machias | St Joseph VT
C Maine Tech | Vermont Tech
Georgetown KY | Wright St-Lake
ME Ft Kent | Villa Maria
UC Merced | St Katherine
Southern Oregon | Simpson CA
Bishop St | MS Gulf Coast
McLennan CC | Blinn
Chatt St Tech | So Crescent Tech
Colby CC | Hesston
Copiah-Lincoln | MS Delta
SW Mississippi | Delgado CC
Meridian CC | E Mississippi CC
Shelton St | Itawamba CC
Lawson St | Wallace CC-Selma
W Oklahoma St | Western Texas
Iowa Cent | Cent CC-Columbus
Mott CC | Owens CC
Milligan | Alice Lloyd
Valley City St | Jamestown
Col Ozarks | Bethany KS
Keiser | Morris SC
Ohio Chr | Lourdes
Mid Georgia | Thomas GA
Guilford Tech CC | Caldwell CC Tech
Ranger | Cedar Valley
Allen | Union KY
Southern N.O. | Jarvis Chr
R Morris Chi | Silver Lake
Embry-Riddle AZ | Life Pacific
Siena Hts | Great Lakes Chr
Chesapeake | Baltimore City CC
Cal Poly | Academy of Art
Air Force | Western St CO
Oregon | AK Fairbanks
Arizona St | Incarnate Word
Cincinnati | Austin Peay
Michigan St | Bowling Green
Brown | Central Conn
Bryant | MA Lowell
Bucknell | Monmouth NJ
Charleston So | Converse
Colorado | N Colorado
Colorado St | E New Mexico
Idaho | CS Northridge
E Illinois | Oakland City
North Carolina | Elon
Miami FL | Florida Intl
Northern Arizona | Fresno St
Georgetown | Richmond
Indiana Tech | Grace IN
Howard | La Salle
Lehigh | Kutztown
Lamar | Louisiana
Manhattan | LIU Brooklyn
Louisville | WKU
N Dakota St | Mayville St
Mississippi St | SE Missouri St
Missouri | W Illinois
Mt St Marys | Washington MD
St Peters | NJIT
Northwestern | WI Green Bay
Youngstown St | Robert Morris
Seton Hall | Wagner
Tulsa | Stetson
USC | UC Riverside
VA Commonwealth | William & Mary
