John Brown | Ozark Chr
TX Wesleyan | Jarvis Chr
Thomas GA | Brewton-Parker
Milligan | Alice Lloyd
Oklahoma S&A | Univ of Southwest
Tougaloo | Texas Col
Union KY | Allen
Villa Maria | Carlow
Cheyney St | PSU-Hazleton
PSU-DuBois | Westmoreland Co
Champion Bap | Bap Bible MO
South Florida | Alabama A&M
Iowa St | Alabama St
Tulsa | Alcorn St
Appalachian St | Mars Hill
Austin Peay | Oakland City
Baker KS | OK City
Ball St | Indiana St
Cornell | Binghamton
Boston College | WI Milwaukee
Boston Univ | Northeastern
Bowling Green | Tiffin
Buffalo | St Francis PA
Campbell | UNC Wilmington
Missouri | Cent Arkansas
Central Conn | Hartford
Davidson | Cleveland St
NJIT | Colgate
W Michigan | Detroit
Texas | E Illinois
James Madison | E Mennonite
Syracuse | E Washington
Illinois St | FL Gulf Coast
VA Commonwealth | Gardner Webb
Penn | George Mason
Gonzaga | Idaho St
S Dakota St | Grand Canyon
Stony Brook | G Washington
Harvard | MIT
UC Irvine | Idaho
Notre Dame | IL Chicago
Texas Tech | Incarnate Word
MTSU | Lees-McRae
Lehigh | Monmouth NJ
Tennessee | Lenoir Rhyne
Massachusetts | MA Lowell
UAB | Mercer
Michigan | Norfolk St
NC State | Mt St Marys
New Mexico St | N Dakota St
New Hampshire | Rivier
Samford | North Alabama
North Carolina | Wofford
Oregon St | UC Riverside
UTEP | Permian Basin
Pittsburgh | Youngstown St
USC | Robert Morris
Seton Hall | Wagner
Virginia | Towson
UTRGV | TX A&M Commerce
Washington | WKU
WI Green Bay | WI Lutheran
Arizona St | CS Fullerton
San Diego St | Ark Pine Bluff
Rhode Island | Bryant
Wisconsin | Coppin St
Denver | Maine
Xavier | IUPUI
Utah St | Montana St
Villanova | Morgan St
San Francisco | UC Davis
South Carolina | SC Upstate
UCLA | PFW
Auburn | South Alabama
TX Southern | Baylor
Purdue | Fairfield
Georgetown | MD E Shore
Kansas | Michigan St
Louisiana Tech | Wichita St
St Johns | Loyola MD
Marquette | UMBC
Memphis | Tennessee Tech
Minnesota | NE Omaha
New Orleans | Spring Hill
Pacific | SIUE
Providence | Siena
Rice | St Leo
UC Santa Barbara | Wyoming
Fresno St | AK Anchorage
Alabama | Southern Univ
Chattanooga | Charlotte
Col Charleston | Presbyterian
East Carolina | Delaware St
Duke | Kentucky
Sam Houston St | E Texas Bap
Temple | La Salle
Loyola-Chicago | Missouri KC
Old Dominion | Navy
UNC Greensboro | NC A&T
Stanford | Seattle
St Louis | SE Missouri St
VMI | Washington MD
New Mexico | CS Northridge
Georgia St | ETSU
Lipscomb | Sewanee
Akron | Cedarville
Longwood | Randolph Col
Oregon | Portland St
San Diego | Weber St
UT Arlington | UT Tyler
Army | Marist
Northwestern LA | Centenary
Fordham | City Col NY
Radford | Davis & Elkins
Elon | Manhattan
North Dakota | Northland
Vanderbilt | Winthrop
North Texas | Angelo St
Northern Iowa | Bemidji St
Dartmouth | Newbury
LSU | SE Louisiana
Nebraska | MS Valley St
N Illinois | Rockford
ULM | Jackson St
S Carolina St | Brevard
Morehead St | Kentucky Chr
Indiana | Chicago St
Clemson | Citadel
UCF | Rider
Florida A&M | Jacksonville
Hampton | Mid-Atlantic Chr
LIU Brooklyn | New Rochelle
C Michigan | Concordia MI
Furman | Bob Jones
Air Force | J&W CO
N Kentucky | Wilmington OH
Holy Cross | Sacred Heart
Maryland | Delaware
Charleston So | Columbia Intl
SF Austin | TX Wesleyan
Missouri St | Oral Roberts
Valparaiso | Concordia IL
Nicholls St | Mississippi Col
Lamar | Huston-Tillot
Abilene Chr | Arlington Bap
Loy Marymount | Westcliff
Creighton | W Illinois
Southern Utah | W Coast Bap
TN Martin | Cumberland TN
Florida St | Florida
Utah Valley | Westminster UT
Portland | Multnomah Bib
Nevada | BYU
Grace IN | Holy Cross IN
Olivet Naz | Lincoln Col
E Florida St | ASA Miami
Bevill-Fay | Enterprise St
FL Southwestern | Broward CC
Chattahoochee Val | S Union St
Clarendon | Lamar CC
Snead St | Cleveland St CC
Pensacola St | Coastal AL-Mon
Ranger | Coastal Bend
Coffeyville CC | NE OK A&M
Col Cent Florida | Hillsborough CC
W Wyoming CC | Colorado NW
Harcum Col | CCBC Catonsville
Truman Col | Oakton CC
Hutchinson CC | N OK-Enid
Labette CC | Independence CC
Indian River | State Col Fla
Iowa Western CC | N Iowa CC
John Logan | Three Rivers
IL Central | Kennedy-King
Northeastern JC | Laramie Co
Iowa Cent | Marshalltown CC
SW MO St-WP | Murray St CC
Temple Col | Navarro
Northwest KS Tech | Otero JC
Olive-Harvey | Lake Co
Joliet JC | Daley
Southern-Shreve | SW Chr TX
USC Salkehatchie | S Georgia St
Vincennes | Volunteer St
Black Hawk-M | Morton
Montgomery Co CC | Bucks Co CC
Cecil Col | DE Tech CC
N Central MO | Ellsworth CC
Union Co | Essex CC
Illinois Val | Milwaukee Tech
Johnson Co | Southeast CC
Rock Valley | Kishwaukee CC
Lakeland CC | Mercyhurst NE
Dutchess CC | Rockland CC
S Suburban | Wilbur Wright
Westchester CC | Bergen CC
N Essex CC | B Franklin Tech
Bristol CC | Massasoit CC
Monroe-Bronx | Bronx CC
Bunker Hill CC | Roxbury CC
Camden Co | Passaic Co
CC of RI | Quincy CC
Elgin CC | Harper
Gateway CC | UConn-AP
Mass Bay CC | Quinsigamond
Prince Georges | Stevens Tech PA
Tompkins Cortland | Schenectady Co
Huntington | Aquinas
Col Ozarks | Evangel
Midland NE | Concordia NE
Edward Waters | Warner
Troy | Fort Valley St
Mendocino | Folsom Lake
Moorpark | Glendale CA
Reedley | Modesto JC
Ave Maria | Florida Col
Bethel IN | Roosevelt
Bethel TN | Philander Smith
Mid Georgia | Coastal GA
Georgetown KY | Midway
IN S Bend | Indiana NW
Lincoln Chr | St Louis Pharm
Marian IN | Trinity Chr
Ohio Chr | Northwestern OH
Bor Manhattan | Kingsborough
Middlesex Co | Philadelphia CC
SAU Tech | NW Mississippi
Coastal Car | Ferrum
Louisiana | Virgin Islands
Asbury | Welch
Siena Hts | Goshen
Florida National | J&W FL
Lourdes | Wright St-Lake
Stillman | Oakwood
Nassau CC | Queensborough
Culver-Stockton | Hannibal-Lagr
Harris-Stowe | Wilberforce
St Francis IN | MI Dearborn
Mt Vernon Naz | Rio Grande
Connors St | Ark Baptist
Lamar St | LSU-Eunice
Moberly Area | John Wood CC
E Michigan | Rochester MI
Life | Selma AL
Northwest Chr | New Hope Chr
Westmont | Bethesda
Johnston CC | Wake Tech
State Fair CC | MCC Maple Woods
George Brown | Georgian
Fanshawe | St Clair
C Maine Tech | ME Augusta
R Morris Chi | East-West
Andrews | Glen Oaks CC
PSU-Hazleton | Luzerne Co CC
Kansas Chr | C Chr Bible
Ohio Eastern | OH Zanesville
Arizona | Houston Bap
Bradley | WI Parkside
Colorado St | Colorado Chr
Dakota Wesleyan | Northwestern IA
Dayton | North Florida
William & Mary | High Point
TAM C. Christi | Howard Payne
St Marys CA | McNeese St
St Edwards | UT San Antonio
DePaul | Bethune-Cookman
Howard | Washington Advt
Bucknell | St Bonaventure
Pepperdine | CS Dom. Hills
Marshall | E Kentucky
St Peters | Lafayette
Florida Intl | Webber
Wright St | W Carolina
TCU | CS Bakersfield
FL Atlantic | Florida Tech
Reinhardt | Allen
St Francis NY | Medgar Evers
Texas A&M | Savannah St
San Jose St | Life Pacific
Ohio St | Cincinnati
Ohio | Wilberforce
Ga Southern | Carver Bib
Kennesaw | Oglethorpe
Cal Poly | Menlo
Hastings | Doane
Albany Tech | Wallace CC-Selma
McLennan CC | Angelina
MS Gulf Coast | Baton Rouge CC
Butler Co-KS | Hesston
Caldwell CC Tech | Catawba Val
Davidson Co CC | Clinton JC
NW Florida St | Coastal AL-Mon
W Nebraska CC | Colby CC
E Florida St | Miami-Dade
Potomac St-WVU | Hagerstown CC
Harford CC | Richard Bland
Mineral Area | SW Illinois
Olive-Harvey | Waubonsee CC
Southeastern CC | Bry & Strat-Milwaukee
Spartanburg Meth | Walters St
Montgomery-R | CCBC-Dundalk
Little Priest | Cent CC-Columbus
Northern Virginia CC | Chesapeake
CC Beaver Co | Frederick CC
Columbus St CC | Edison CC
Fayetteville Tech | Vance-Granville
Lenoir CC | Sandhills CC
Oakland CC | Mid-Michigan CC
Stevens Tech PA | Anne Arundel
Fulton-Mont | Cayuga CC
N Country CC | Adirondack CC
Grayson Co JC | Paris JC
Viterbo | Clarke
Dordt | Mt Marty
LSU-Alexandria | Wm Carey
El Camino Col | Bakersfield Col
Copper Mtn | Barstow CC
Butte Col | Sierra Col
Cypress | Col of the Canyons
Cerritos Col | Santa Monica Col
MiraCosta | Cuyamaca
Southwestern CA | Irvine Valley
Long Beach City Col | Riverside CC
West LA Col | Oxnard
Benedictine AZ | Ottawa AZ
Lindsey Wilson | Brescia
Briar Cliff | Jamestown
Bryan | Point
Central Chr | McPherson
Voorhees | FL Memorial
IU Kokomo | Taylor IN
Lyon | Talladega
Mid Am Nazarene | Park
Missouri Val | Wm Woods
Montreat | TN Wesleyan
St Ambrose | Mt Mercy
Guilford Tech CC | Cent Carolina CC
Milligan | Columbia Intl
OK City | Ecclesia
Stetson | Johnson FL
South Dakota | York NE
Union KY | Truett-McConnell
Card Stritch | East-West
Fisher | ME Machias
Herkimer Co | Mohawk Val
Humber | Sheridan ON
Crandall | Mt Allison
Alice Lloyd | Warren Wilson
Onondaga CC | SUNY-ESF
LSU Shreveport | UT Dallas
Madonna | Olivet MI
Clark St | Miami-Hamilton
Indiana Tech | Trinity IL
Florida St-Jax | FL Gateway
Schoolcraft | Jackson CC
S Dakota St | Alabama St
Albertus Magnus | Anna Maria
Ark Little Rock | SE Oklahoma
E Mennonite | Averett
Drake | Buena Vista
Cent Arkansas | Hendrix
Worcester St | Clark MA
Coast Guard | Roger Williams
Connecticut | Morehead St
Crown MN | Hamline
Elizabethtown | PSU-Berks
Illinois | Evansville
FL Gulf Coast | Southeastern FL
Goucher | Valley Forge
Loras | Greenville
NE Wesleyan | Grinnell
Webster Univ | Illinois Col
Johns Hopkins | Moravian
Principia | Knox
Macalester | N Central MN
Utah | Maine
Springfield | W New England
WI Eau Claire | St Olaf
York PA | Dickinson
Siena | G Washington
Northwestern | New Orleans
Iowa | Missouri KC
Seattle | Puget Sound
Sam Houston St | SW Univ TX
RI College | Fitchburg St
M Hardin-Baylor | Schreiner
SMU | Northwestern LA
Louisville | Nicholls St
Montclair St | Staten Island
Notre Dame | Chicago St
Liberty | ME Ft Kent
UNC Asheville | St Andrews
ETSU | Hiwassee
PFW | Earlham
Norfolk St | Mid-Atlantic Chr
SF Austin | SW Assemb God
Cornell | SUNY Canton
Shelton St | Albany Tech
Allegany MD | Butler Co-PA
Cent Georgia Tech | Bevill-Fay
Pearl River CC | Bishop St
Col Cent Florida | St Petersburg
East Central CC | E Mississippi CC
Moraine Val | Truman Col
Malcolm X | Wilbur Wright
Monroe-NR | Hostos CC
New Mexico JC | Phoenix Col
NM Military | Tohono Oodham
Ancilla | Daley
Triton Col | Sauk Valley CC
Gloucester Co | DE Tech CC
McHenry Co | Harper
Orange Co | Monroe-Bronx
Camden Co | Burlington Co
CC of RI | B Franklin Tech
Bor Manhattan | Brookdale CC
Bristol CC | UConn-AP
Bronx CC | Kingsborough
Bunker Hill CC | Massasoit CC
Gateway CC | Sprfld Tech CC
Harrisburg Area CC | Luzerne Co CC
Roxbury CC | Mass Bay CC
N Essex CC | Quincy CC
Onondaga CC | Schenectady Co
Passaic Co | Val Forge Mil
Holmes CC | Jones Co CC
Calumet-St Jos | Silver Lake
MO Baptist | Crowleys Ridge
Harris-Stowe | Paul Quinn
KS Wesleyan | Midland NE
Mid-Am Chr | N New Mexico
American River | Col of the Redwoods
Chaffey | El Camino-Compton
Saddleback | Citrus Col
De Anza Col | Siskiyous
Fullerton Col | San Diego Mesa
Gavilan | Modesto JC
LA Valley Col | LA Trade-Tech
San Joaquin Delta | Ohlone
Miramar CC | Orange Coast
SD City Col | West Hills
Langston | Texas Col
Southern N.O. | Loyola NO
Stillman | Rust
Hinds CC | Coahoma CC
Williston St | Northwest WY
Stevens Tech PA | Bucks Co CC
Joliet JC | Prairie St
Quinsigamond | Holyoke CC
Bethany Luth | Carleton MN
Neumann | Kean
Rowan | Rosemont
Delaware Val | Immaculata
Millikin | Dubuque
St Elizabeth | FDU Madison
Lynchburg | Ferrum
Manhattanville | NY Maritime
Vermont Tech | Lyndon St
St Joseph VT | Johnson St
PSU-Hazleton | Kings PA
Blackburn | St Louis Pharm
PSU-Brandywine | Widener
Chapman | Menlo
MT Tech | Northwest Indian
TX Wesleyan | Arlington Bap
Coastal GA | Brewton-Parker
Tougaloo | Freed-Hardeman
AZ Western | Imperial Val
South Mtn | Wayne Co
St Francis IN | Ohio Chr
San Diego Chr | La Sierra
Yuba | Folsom Lake
Concordia QC | Laval
McGill | UQAM
Niagara ON | UT-Mississauga
Georgian | Centennial Col
Langara | Columbia Bib
Cumberland TN | Oakwood
Cin Clermont | Hocking
Texas St | Air Force
Case Western | Albion
American Univ | George Mason
Lander | Anderson SC
Arizona St | McNeese St
CSU-Pueblo | Arkansas-FS
Augusta | Mt Olive
Austin Col | Howard Payne
Mississippi St | Austin Peay
Barton | Georgia SW
Bellarmine | Saginaw Val
NJIT | Binghamton
Vermont | Boston Univ
LIU Brooklyn | Brown
NE Omaha | Buena Vista
Washington MD | Cairn
Fairmont St | California PA
Cameron | Newman
Carson-Newman | S Wesleyan
Lake Forest | Carthage
Chadron St | Texas A&M Intl
Lincoln Mem | Clayton St
Colgate | Monmouth NJ
St Edwards | Colorado Chr
Lubbock Chr | Colorado Mines
Columbus St | Lees-McRae
Indiana PA | Concord
St Michaels | Concordia NY
CS San Bern. | Concordia OR
CSU East Bay | Notre Dame CA
Mesa St | Dallas Bap
Davenport | Wm Jewell
Eckerd | Delta St
Princeton | DeSales
E Michigan | Drexel
Lincoln MO | East Central OK
North Carolina | Elon
Ft Lewis | E New Mexico
Erskine | Georgia C&S
Pacific OR | Evergreen St
Rutgers | F Dickinson
Findlay | Truman St
King TN | Flagler
FL Southern | West Alabama
Franciscan OH | Wash & Jeff
Franklin IN | Otterbein
St Martins | Fresno Pacific
Furman | Loyola-Chicago
Hood | Gallaudet
Virginia Tech | Gardner Webb
Glenville St | Seton Hill
VA Commonwealth | Hampton
Northeastern | Harvard
Henderson St | Mary ND
Hillsdale | S Indiana
Hofstra | Mt St Marys
Sewanee | Huntingdon
Radford | IL Chicago
Indiana | Montana St
Indianapolis | Northwood MI
Indiana St | WI Green Bay
Iowa St | Missouri
Samford | Jacksonville St
Mid Am Nazarene | John Brown
John Jay | MA Liberal Arts
Kentucky | S Illinois
Kutztown | West Liberty
Oberlin | La Verne
WI Stout | Lawrence
Miami FL | Lehigh
Lenoir Rhyne | Young Harris
Le Tourneau | Willamette
Maryville MO | Tiffin
Massachusetts | New Hampshire
ME Presque Isle | Norwich
Mercer | Piedmont
Mercyhurst | SUNY Fredonia
MTSU | Milligan
SW Baptist | Minot St
Missouri St | Robert Morris
St Cloud | MO Southern
MO St Louis | Walsh
Point Loma | MT St-Billings
Transylvania | Mt Union
NC Pembroke | Newberry
Southern Nazarene | NE Kearney
Newbury | Rivier
New Mexico St | UTEP
N Kentucky | N Illinois
W New Mexico | NM Highlands
NW Nazarene | Northwest Chr
Roberts Wslyn | Nyack
NYU | Purchase
Pitt-Johnstown | Virginia St
Wayne St NE | Pittsburg St
Plymouth St | St Josephs ME
Rhodes | Univ Ozarks
Ursinus | Roanoke
S Dakota Tech | TX A&M Kville
Union TN | Spring Hill
Stanford | UNC Wilmington
Tennessee | Louisiana
Western St CO | W Texas A&M
Assumption | Molloy
Buffalo | West Virginia
Yale | California
Chr Brothers | Central St OH
Davidson | Dartmouth
WI Superior | Finlandia
Le Moyne | Georgian Court
Utah St | Hartford
Stony Brook | South Carolina
Auburn | Washington
St Johns | Bowling Green
UCLA | Long Beach St
Nevada | Pacific
Penn St | North Florida
Toledo | Oakland
Penn | Rice
Wichita St | Providence
Iona | Albany NY
Temple | Detroit
James Madison | East Carolina
Montana | Georgia St
LSU | UNC Greensboro
Oklahoma | UTRGV
St Josephs PA | Old Dominion
West Georgia | Palm Beach Atl
Pittsburgh | VMI
UC San Diego | Simon Fraser
UC Irvine | Texas A&M
Cal St-LA | Concordia CA
Shepherd | Millersville
TX A&M Commerce | Oklahoma Chr
Texas | Arkansas
North Greenville | North Georgia
Abilene Chr | Arkansas St
Auburn Mgomery | Florida Tech
Quincy | Cedarville
Florida | Charleston So
Nova SE | Claflin
CS Stanislaus | Holy Names
Oregon | E Washington
Guilford | Methodist
MN Mankato | Lindenwood
Longwood | Richmond
Prairie View | Santa Clara
Rockhurst | Purdue Northwest
Regis CO | St Marys TX
San Diego | UC Davis
Alvernia | PSU-Berks
Mississippi Col | Belhaven MS
W Washington | CS Dom. Hills
Embry-Riddle FL | Lee TN
Emporia St | SW Minnesota
Sioux Falls | Fort Hays St
West Florida | Fort Valley St
Messiah | Summit
Midwest TX St | Rogers St
NE Oklahoma | SW Oklahoma
NW Missouri | Upper Iowa
Washburn | OK Baptist
SC Aiken | Tusculum
Biola | CS San Marcos
Lynn | Clark Atlanta
Hawaii | Portland
Kansas St | Kennesaw
ME Maritime | Medgar Evers
Moorhead St | MN Morris
Texas Tech | MS Valley St
Notre Dame OH | Slippery Rock
BYU | Utah Valley
Weber St | Bethesda
Florida Intl | J&W FL
Clemson | NC Central
C Michigan | Chicago St
St Francis PA | Morgan St
Georgia Tech | Lamar
Coastal Car | Campbell
Alcorn St | Blue Mtn
TAM C. Christi | Our Lady Lake
SE Louisiana | Wm Carey
Oral Roberts | Southwestern KS
Incarnate Word | St Francis IL
Maryland | Navy
Georgia | Savannah St
Grambling | Jarvis Chr
N Colorado | Colorado Col
Cal Baptist | San Diego Chr
CS Sacramento | Simpson CA
North Texas | Humboldt St
Bethel IN | IN S Bend
Shawnee St | Goshen
Indiana-East | MI Dearborn
MT Western | Yellowstone Chr
Mt Vernon Naz | Olivet Naz
OK City | N New Mexico
Providence GF | Northwest WA
N OK-Tonkawa | Allen Co
Barton Co | Redlands CC
Itawamba CC | Baton Rouge CC
Dakota Co Tech | Bismarck St
Blinn | Richland
Caldwell CC Tech | Louisburg
Cape Fear CC | Lenoir CC
Casper College | Salt Lake CC
Shelton St | Cent Georgia Tech
Chipola | Roane St
Cloud Co | Dakota-Bottineau
Gadsden St CC | Jefferson Davis
Coastal AL-BM | Snead St
Southern Idaho | W Nebraska CC
Collin Co | Brookhaven
Eastern Arizona | Colorado NW
Cowley Co | N OK-Enid
Northwest WY | Dawson CC
Daytona St | Miami-Dade
Dodge City CC | W Oklahoma St
John Logan | E Mississippi CC
FL Southwestern | S Georgia Tech
Trinidad St JC | Frank Phillips
Georgia Highlands | Motlow St
Gordon GA | Santa Fe CC
Harcum Col | Chesapeake
Pensacola St | Harford CC
Southeastern CC | Highland CC IL
Iowa Western CC | Des Moines CC
Moberly Area | Kennedy-King
North Platte CC | Laramie Co
Tallahassee CC | Lawson St
Lincoln Trail | Malcolm X
N Iowa CC | Marshalltown CC
Midland TX | North Lake
Sheridan WY | Miles CC
Murray St CC | N Arkansas
New Mexico JC | South Mtn
Phoenix Col | NM Military
Northeast CC | Iowa Cent
Northeastern JC | Little Priest
NW Florida St | Palm Beach St
Ranger | Odessa
Olney | Clark St
Fayetteville Tech | Richard Bland
South Plains | Seward Co
Walters St | USC Salkehatchie
Eastern Utah | W Wyoming CC
Vincennes | Lincoln Land
Wabash Val | Danville CC IL
Bay Col | United Tribes
Southeast CC | Black Hawk-M
Waubonsee CC | Carl Sandburg
Nassau CC | CCBC-Dundalk
Iowa Lakes CC | Cent CC-Columbus
Cuyahoga CC | Mercyhurst NE
Delta Col | Kalamazoo Val
Ellsworth CC | Rochester C&T
Garrett | CC Allegheny-A
St Cloud Tech | Gogebic CC
Howard CC MD | Rockland CC
Oakton CC | Illinois Val
Milwaukee Tech | Kellogg CC
Labette CC | N Central MO
Mott CC | Lake Michigan
Wayne Co | Tohono Oodham
Anoka Ramsey | Madison Col
Prince Georges | PA Highlands CC
Bellevue | Northwestern OH
Col of Idaho | Lewis-Clark ID
Dalton St | Pikeville
Edward Waters | FL Memorial
Waldorf | Governors St
St Thomas TX | Ottawa KS
Peru St | Valley City St
Augustana SD | S Arkansas
Rollins | Benedict
Brockport St | Medaille
C Oklahoma | NW Oklahoma St
Col Springs | Tarleton St
Queens NC | Emmanuel GA
Gannon | Wheeling Jesuit
Marywood | New Rochelle
Allan Hancock | West Valley Col
American River | Siskiyous
Col of the Sequoias | Bakersfield Col
Canada Col | Solano CC
Cuesta | Chabot
Citrus Col | Fullerton Col
Irvine Valley | Cuyamaca
Cypress | Grossmont
De Anza Col | Col of the Redwoods
Pasadena City Col | El Camino Col
Hartnell | Merced Col
Skyline | Los Medanos
MiraCosta | Santa Ana Col
Moorpark | Monterey Peninsula
Mt San Jacinto | Rio Hondo
Victor Valley | Porterville
Saddleback | SD City Col
West Hills | San Diego Mesa
Wingate | Belmont Abbey
Limestone | Mars Hill
UVA-Wise | Livingstone
Georgetown KY | Bethel TN
Carroll MT | Corban
Cent Methodist | Tabor
IN Southeast | Col Ozarks
Grace IN | Concordia MI
Harris-Stowe | Texas Col
Langston | Paul Quinn
Lawrence Tech | Trinity Chr
Martin Meth | Life
St Ambrose | Rochester MI
McCook CC | Eastern Wyoming
Lewis & Clark CC | State Fair CC
Lorain Co CC | Anne Arundel
Oxford of Emory | Cent Carolina CC
SAU Tech | Kilgore
Catawba | Francis Marion
C Washington | CS Monterey Bay
Charleston WV | Bowie St
AK Anchorage | Hawaii Pacific
C Missouri | Harding
Chaminade | AK Fairbanks
Valdosta St | Albany GA
Emory & Henry | Thomas More
WV State | Eliz. City St
Union NY | Hartwick
IL Springfield | Malone
Permian Basin | Adams St
Dominican CA | Sonoma St
OH Dominican | Wayne St MI
S Francisco St | Academy of Art
LeMoyne-Owen | Shorter
Daemen | Caldwell
Randolph Macon | Immaculata
Marietta | Bethany WV
Ramapo | W Connecticut
WV Wesleyan | West Chester
